"author_id","indexed_name","surname","given_name","gender","affiliation_current","citation_count","cited_by_count","coauthor_count","document_count","authorEC_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","publication_range","hindex","address","affiliation_name","department_id","department_name","author_count","city","country","date_created","affil_document_count","org_URL","org_domain","org_type","postal_code","search_link","sort_name","state","category"
55667043500,"Álvarez-Nava F.","Álvarez-Nava","Francisco","M",60072038,195,177,84,25,1,1,1,"1997-2019",7,"Ciudadela Universitaria. Avenue America","Universidad Central del Ecuador",119593814,"Biological Sciences School",0,"Quito","Ecuador","17/10/2017",0,"http://www.uce.edu.ec/","uce.edu.ec",,170129,"https://api.elsevier.com/content/search/scopus?query=af-id%28119593814%29","Biological Sciences School",,"national"
57205607670,"Álvarez-Rodas L.","Álvarez-Rodas","Luis","M",60105693,0,0,4,1,1,1,1,"2018-2018",0,"Calle Vieja 12-30 y Elia Liut","Universidad Politécnica Salesiana, Cuenca",122055933,"Carrera de Ingeniería Ambiental",0,"Cuenca","Ecuador","2/2/2019",0,"https://www.ups.edu.ec/en","ups.edu.ec",,"010105","https://api.elsevier.com/content/search/scopus?query=af-id%28122055933%29",,"Azuay","nationalP"
57192091201,"Álvarez-Sagubay P.","Álvarez-Sagubay","Paul Javier","M",60072042,3,3,5,1,1,1,1,"2016-2016",1,"Ciudadela Universitaria Salvador Allende, Av. Delta y Av. Kennedy","Universidad de Guayaquil",,,942,"Guayaquil","Ecuador","2/2/2008",821,"http://www.ug.edu.ec/","ug.edu.ec","univ","090514","https://api.elsevier.com/content/search/scopus?query=af-id%2860072042%29","Guayaquil, Universidad de","Guayas","national"
57195532537,"Álvarez-Sánchez R.","Álvarez-Sánchez","Rafael","M",60010844,2,2,3,1,1,1,1,"2018-2018",1,"Carretera San Vicente del Raspeig","Universitat d'Alacant",119161843,"Dpto. Ciencia de la Computacin e Inteligencia Artificial (DCCIA)",0,"Alicante","Spain","8/9/2017",0,"http://www.ua.es/en/index.html","ua.es",,3690,"https://api.elsevier.com/content/search/scopus?query=af-id%28119161843%29",,"Alicante","externalN"
56169813900,"Alvarez-Suarez J.","Alvarez-Suarez","José M.","M",60104441,2841,1873,133,61,2,2,2,"2008-2019",29,"Av. de los Granados E12-41 y Colimes esq.","Universidad de las Americas - Ecuador",,,387,"Quito","Ecuador","6/7/2013",662,"https://www.udla.edu.ec/","udla.edu.ec","univ",170125,"https://api.elsevier.com/content/search/scopus?query=af-id%2860104441%29","Americas - Ecuador, Universidad de las","Pichincha","national"
57188666967,"Álvarez-Uribe K.","Álvarez-Uribe","Karla C.","F",60108696,44,43,19,9,3,3,4,"2009-2019",4,"Calle 54 A # 30-01","Instituto Tecnológico Metropolitano",,,528,"Medellín","Colombia","12/6/2017",736,"http://www.itm.edu.co",,"resi",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860108696%29","Instituto Tecnológico Metropolitano",,"externalN"
57202157145,"Álvaro E.","Álvaro","Eduardo","M",60072054,0,0,4,1,1,1,1,"2018-2018",0,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ","Escuela Politécnica Nacional",104801432,"Departamento de Automatización y Control Industrial",0,"Quito","Ecuador","2/2/2008",0,"https://www.epn.edu.ec/","epn.edu.ec",,170517,"https://api.elsevier.com/content/search/scopus?query=af-id%28104801432%29","Departamento de Automatización y Control Industrial","Ecuador","national"
56333541300,"Alvear O.","Alvear","Oscar","M",60072035,90,77,10,13,4,11,11,"2014-2018",6,"Av. 12 de Abril s/n Ciudadela Universitaria","University of Cuenca",119195787,"Department of Electrical Engineering",0,"Cuenca","Ecuador","13/9/2017",0,"http://rai.ucuenca.edu.ec/","rai.ucuenca.edu.ec",,,"https://api.elsevier.com/content/search/scopus?query=af-id%28119195787%29","Department of Electrical Engineering",,"national"
57192645435,"Alvear-Puertas V.","Alvear-Puertas","Vanessa","F",60107287,11,11,8,1,1,1,1,"2016-2016",1,"Av 17 de Julio 5-21","Universidad Técnica del Norte",,,401,"Ibarra","Ecuador","3/11/2016",272,"http://www.utn.edu.ec/web/uniportal/",,"univ",,"https://api.elsevier.com/content/search/scopus?query=af-id%2860107287%29","Técnica del Norte, Universidad",,"national"
57194264827,"Alves D.","Alves","Daniel Borini","M",60016809,18,18,6,5,1,2,2,"2015-2018",2,"Pedro Cerbuna 12","Universidad de Zaragoza",,,8966,"Zaragoza","Spain","3/2/2008",44252,"http://www.unizar.es/","unizar.es","univ",50009,"https://api.elsevier.com/content/search/scopus?query=af-id%2860016809%29","Zaragoza, Universidad de","Zaragoza","externalN"
7006053908,"Alves G.","Alves","Gustavo","M",60115334,1034,724,262,154,1,84,91,"1993-2019",15,"Rua Dr. António Bernardino de Almeida, 431","Centro de Inovação em Engenharia e Tecnologia Industrial",123505173,"Department of Electrical Engineering",0,"Porto","Portugal","28/11/2019",0,"http://www.cieti.isep.ipp.pt/index.php?page=home-2","cieti.isep.ipp.pt",,"4200-072","https://api.elsevier.com/content/search/scopus?query=af-id%28123505173%29",,"Porto","externalN"
57193380807,"Alvia S.","Alvia","Stephanie Villacis","F",60072061,0,0,4,1,1,1,1,"2016-2016",0,"Malecon 100 y Loja","Escuela Superior Politecnica del Litoral Ecuador",116283313,"Campus Gustavo Galindo",0,"Guayaquil","Ecuador","5/2/2016",0,"http://www.espol.edu.ec/","espol.edu.ec",,,"https://api.elsevier.com/content/search/scopus?query=af-id%28116283313%29","Campus Gustavo Galindo","Guayas","national"
24831759600,"Alvizu R.","Alvizu","Rodolfo","M",60023256,154,132,46,28,2,17,21,"2008-2020",7,"Piazza Leonardo da Vinci, 32","Politecnico di Milano",,,12215,"Milan","Italy","2/2/2008",70490,"https://www.polimi.it/en/","polimi.it","univ",20133,"https://api.elsevier.com/content/search/scopus?query=af-id%2860023256%29","Politecnico di Milano",,"externalN"
52663094800,"Amado-Salvatierra H.","Amado-Salvatierra","Héctor R.","M",105324570,89,70,57,38,3,31,36,"2011-2019",6,"Guatemala","Galileo University",122949967,"Departamento GES",0,"Guatemala City","Guatemala","7/8/2019",0,,,,"01010","https://api.elsevier.com/content/search/scopus?query=af-id%28122949967%29",,,"externalN"
57203035877,"Amaguaña F.","Amaguaña","Fabricio","M",60104598,3,3,3,1,1,1,1,"2018-2018",1,"Av General Ruminahui s / n,","Universidad de las Fuerzas Armadas ESPE",118677888,"CICTE Research Center",0,"Sangolqui","Ecuador","29/6/2017",0,"http://www.espe.edu.ec/",,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28118677888%29","CICTE Research Center",,"national"
57205670492,"Aman R.","Aman","Ricardo J.","M",60106645,1,1,5,1,1,1,1,"2018-2018",1,,"Universidad Técnica de Ambato",119228706,"Electronics and Industrial Engineering",0,"Ambato","Ecuador","19/9/2017",0,"http://www.uta.edu.ec/v2.0/",,,,"https://api.elsevier.com/content/search/scopus?query=af-id%28119228706%29","Electronics and Industrial Engineering",,"nationalN"
57204787575,"Amaquiña J.","Amaquiña","José L.","M",60072054,1,1,6,1,1,1,1,"2018-2018",1,"Campus Politecnico Ruben Orellana / Ladron de Guevara E11-253, ","Escuela Politécnica Nacional",,,1031,"Quito","Ecuador","2/2/2008",1861,"https://www.epn.edu.ec/","epn.edu.ec","univ",170517,"https://api.elsevier.com/content/search/scopus?query=af-id%2860072054%29","Escuela Politecnica Nacional, Ecuador","Ecuador","national"
26038895300,"Amato A.","Amato","Ariel",,60023020,132,120,19,15,1,14,14,"2007-2014",6,"Campus de Bellaterra","Universitat Autònoma de Barcelona",,,14252,"Barcelona","Spain","2/2/2008",62497,"http://www.uab.cat","uab.es","univ","08193","https://api.elsevier.com/content/search/scopus?query=af-id%2860023020%29","Autónoma de Barcelona, Universidad","Barcelona","externalN"
