"id_paper","YEAR","citedby_count","doctype","source_id","author_id","gender","orden","affil_id","affiliation_name","country_affil","affil_author_count","affil_document_count","org_type"
"2-s2.0-85045307313",2018,3,"Conference Paper","s21100204111","9-s2.0-57195684221","M",3,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85026312087",2018,0,"Article","s4900152708","9-s2.0-55141247500","F",3,"9-u2.0-60105694","Universidad Estatal Península de Santa Elena","Ecuador",189,202,"univ"
"2-s2.0-85026312087",2018,0,"Article","s4900152708","9-s2.0-55947196500","M",4,"9-u2.0-60028370","Polytechnic Institute of Leiria","Portugal",497,1846,"univ"
"2-s2.0-85047898231",2018,0,"Conference Paper","s21100218356","9-s2.0-57192306111","M",3,"9-u2.0-60072035","University of Cuenca","Ecuador",777,1262,"univ"
"2-s2.0-85047898231",2018,0,"Conference Paper","s21100218356","9-s2.0-36624403800","M",4,"9-u2.0-60072035","University of Cuenca","Ecuador",777,1262,"univ"
"2-s2.0-85055772132",2018,1,"Conference Paper","s17700155007","9-s2.0-57204503153","F",3,"9-u2.0-60086423","Universidad de las Ciencias Informáticas, Cuba","Cuba",322,343,"univ"
"2-s2.0-85055772132",2018,1,"Conference Paper","s17700155007","9-s2.0-55510410300","M",4,"9-u2.0-60110590","Universidad ECOTEC","Ecuador",42,63,"univ"
"2-s2.0-85059043462",2018,0,"Conference Paper","s21100892576","9-s2.0-57194976403","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85059029690",2018,0,"Conference Paper","s21100892576","9-s2.0-57205202753","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85059029690",2018,0,"Conference Paper","s21100892576","9-s2.0-57194976403","M",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85056799081",2018,0,"Conference Paper","s21100886394","9-s2.0-57203391794","F",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85055794199",2018,0,"Conference Paper","s40067","9-s2.0-57197786646","F",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85055414872",2018,0,"Conference Paper","s21100218356","9-s2.0-57204397730","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85049246933",2018,0,"Article","s21100229111","9-s2.0-56703648400","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85049246933",2018,0,"Article","s21100229111","9-s2.0-57202761680","F",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85047955705",2018,1,"Conference Paper","s21100218356","9-s2.0-57202333787","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85045147623",2018,0,"Conference Paper","s5100152904","9-s2.0-57191336452","F",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85042257838",2018,0,"Conference Paper","s5100152904","9-s2.0-57190405711","F",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85041063348",2018,3,"Conference Paper","s5100152904","9-s2.0-56246776800","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85041063348",2018,3,"Conference Paper","s5100152904","9-s2.0-57188564165","M",4,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85041048947",2018,0,"Conference Paper","s5100152904","9-s2.0-56495447800","M",3,"9-u2.0-60072064","Universidad Tecnica Particular de Loja","Ecuador",983,1450,"univ"
"2-s2.0-85034583365",2018,4,"Conference Paper","s5100152904","9-s2.0-39861065400","M",3,"9-u2.0-60026438","Universidad Simón Bolívar","Venezuela",3245,9895,"univ"
"2-s2.0-85034583365",2018,4,"Conference Paper","s5100152904","9-s2.0-56265306600","M",4,"9-u2.0-60046690","Universidad Pontificia Bolivariana","Colombia",1951,2882,"univ"
"2-s2.0-85041088256",2018,4,"Conference Paper","s5100152904","9-s2.0-57210749741","M",3,"9-u2.0-60052106","Universidad de Los Andes, Colombia","Colombia",4563,11777,"univ"
"2-s2.0-85041088256",2018,4,"Conference Paper","s5100152904","9-s2.0-57210749741","M",3,"9-u2.0-60104441","Universidad de las Americas - Ecuador","Ecuador",387,662,"univ"
"2-s2.0-85041088238",2018,1,"Conference Paper","s5100152904","9-s2.0-57195313911","F",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041079772",2018,0,"Conference Paper","s5100152904","9-s2.0-57200377632","F",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041037105",2018,1,"Conference Paper","s5100152904","9-s2.0-57200380475","M",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041025224",2018,0,"Conference Paper","s5100152904","9-s2.0-57200380464","F",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041022710",2018,0,"Conference Paper","s5100152904","9-s2.0-57200384977","M",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041022710",2018,0,"Conference Paper","s5100152904","9-s2.0-57200382170","M",4,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85041022580",2018,0,"Conference Paper","s5100152904","9-s2.0-57200383268","M",3,"9-u2.0-60072063","Pontificia Universidad Catolica del Ecuador","Ecuador",889,1405,"univ"
"2-s2.0-85021708379",2018,0,"Conference Paper","s5100152904","9-s2.0-57194695750","M",3,"9-u2.0-60108359","Universidad Internacional SEK Ecuador","Ecuador",65,102,"univ"
"2-s2.0-85021708379",2018,0,"Conference Paper","s5100152904","9-s2.0-57193846214","M",4,"9-u2.0-60108359","Universidad Internacional SEK Ecuador","Ecuador",65,102,"univ"
"2-s2.0-85061624047",2018,1,"Conference Paper","s17700155007","9-s2.0-57206257276","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85061624047",2018,1,"Conference Paper","s17700155007","9-s2.0-57206254742","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85058279514",2018,0,"Conference Paper","s25674","9-s2.0-56911593800","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85058279514",2018,0,"Conference Paper","s25674","9-s2.0-36163031900","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057212828",2018,2,"Conference Paper","s25674","9-s2.0-36163031900","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057166740",2018,0,"Conference Paper","s25674","9-s2.0-36163031900","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057166740",2018,0,"Conference Paper","s25674","9-s2.0-9845151900","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057142292",2018,3,"Conference Paper","s25674","9-s2.0-36163031900","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057142044",2018,1,"Conference Paper","s25674","9-s2.0-57201220181","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85057142044",2018,1,"Conference Paper","s25674","9-s2.0-57197383076","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85056447205",2018,0,"Conference Paper","s17700155007","9-s2.0-57195728297","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85056447205",2018,0,"Conference Paper","s17700155007","9-s2.0-57027422700","F",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85055829392",2018,0,"Conference Paper","s17700155007","9-s2.0-57201059518","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85055829392",2018,0,"Conference Paper","s17700155007","9-s2.0-57195728297","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85051946089",2018,0,"Conference Paper","s25674","9-s2.0-36163031900","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050367026",2018,0,"Conference Paper","s25674","9-s2.0-57201579637","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050367026",2018,0,"Conference Paper","s25674","9-s2.0-57191055982","F",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050361318",2018,0,"Conference Paper","s25674","9-s2.0-57190035096","M",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050361318",2018,0,"Conference Paper","s25674","9-s2.0-57203042460","M",4,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
"2-s2.0-85050350025",2018,0,"Conference Paper","s25674","9-s2.0-57191055982","F",3,"9-u2.0-60104598","Universidad de las Fuerzas Armadas ESPE","Ecuador",1490,1654,"univ"
