"author_id","indexed_name","surname","given_name","gender","citation_count","cited_by_count","coauthor_count","author_doc_all","authorEC_doc_CS_2018","authorEC_COA_doc_CS_2018","author_doc_CS_all_2018","author_doc_CS_all","ratiosCSEC","hindex","yearIn","yearFin","careerLength","active","affiliation_current","affiliation_name","country_affil","org_type","affil_author_count","affil_document_count","category"
"9-s2.0-57200385355","Rosero S.","Rosero","Shendry","F",0,0,1,1,1,1,1,1,100,0,2018,2018,1,1,60072061,"Escuela Superior Politecnica del Litoral Ecuador","Ecuador","resi",1054,1618,"national"
"9-s2.0-57200385360","Benavides D.","Benavides","Diego Eduardo","M",1,1,4,2,1,1,1,2,100,1,2018,2020,3,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200385407","Guffanti D.","Guffanti","Diego","M",0,0,3,1,1,1,1,1,100,0,2018,2018,1,1,60108339,"Universidad Tecnológica Equinoccial","Ecuador","univ",214,379,"national"
"9-s2.0-57200385408","Rivero-Albarrán D.","Rivero-Albarrán","Dulce M.","F",1,1,9,3,1,2,2,3,50,1,2018,2019,2,1,60002439,"Universidad De Los Andes, Merida","Venezuela","univ",3173,7409,"national"
"9-s2.0-57200385427","Cabezas C.","Cabezas","Cristian F.","M",1,1,6,1,1,1,1,1,100,1,2018,2018,1,1,60104598,"Universidad de las Fuerzas Armadas ESPE","Ecuador","univ",1490,1654,"national"
"9-s2.0-57200385493","Sarmiento A.","Sarmiento","Andrea","F",0,0,3,1,1,1,1,1,100,0,2018,2018,1,1,60109555,"Universidad Católica de Cuenca","Ecuador","univ",271,228,"national"
"9-s2.0-57200385543","Ramírez Á.","Ramírez","Álvaro Cevallos","M",0,0,1,1,1,1,1,1,100,0,2018,2018,1,1,60072063,"Pontificia Universidad Catolica del Ecuador","Ecuador","univ",889,1405,"national"
"9-s2.0-57200385832","de Paula Júnior I.","de Paula Júnior","Iális C.","NA",2,2,7,2,0,1,2,2,0,1,2018,2018,1,1,60020457,"Universidade Federal do Ceara","Brazil","univ",13551,26643,"external"
"9-s2.0-57200385898","Paladines J.","Paladines","Jos?","M",0,0,4,4,1,1,3,4,33,0,2017,2019,3,1,60028442,"Universidad Politécnica de Madrid","Spain","univ",8447,27660,"external"
"9-s2.0-57200385993","Bustamante L.","Bustamante","Leslie","NA",2,2,7,2,0,1,1,1,0,1,2018,2019,2,1,60010726,"Doshisha University","Japan","univ",5421,13616,"external"
